year,ogółem,mężczyźni,kobiety,przedstawiciele władz publicznych oraz wyżsi urzędnicy i kierownicy,specjaliści,technicy i inny średni personel,pracownicy biurowi,pracownicy usług i sprzedawcy,rolnicy oraz ogrodnicy także leśnicy i rybacy,robotnicy przemysłowi i rzemieślnicy,operatorzy i monterzy maszyn i urządzeń,pracownicy przy pracach prostych,do 24 lat,25-34 lata,35-44 lata,45-54 lata,55-59 lata,60-64 lata,65 lat i więcej
year,total,males,females,managers,professionals,technicians and associate professionals,Clerical support workers,service and sales workers,skilled agricultural and forestry and fishery workers,craft and related trades workers,plant and machine operators and assemblers,elementary occupations,up to 24 years,25-34 years,35-44 years,45-54 years,55-59 years,60-64 years,65 years and more
2010,21.98,22.89,21.00,43.51,31.84,21.77,17.65,12.44,12.82,16.06,17.24,12.22,13.71,20.66,24.33,22.30,22.61,27.21,32.57
2011,,,,,,,,,,,,,,,,,,,
2012,21.76,23.09,20.35,44.15,29.80,21.25,17.32,12.27,14.04,16.56,17.14,12.09,13.57,20.18,24.28,22.25,21.65,25.91,35.02
2013,,,,,,,,,,,,,,,,,,,
2014,22.91,24.32,21.35,45.39,31.70,22.49,17.73,13.14,14.35,17.53,17.88,12.95,14.34,20.89,25.51,23.83,22.58,25.29,34.02
2015,,,,,,,,,,,,,,,,,,,
2016,26.37,27.79,24.79,52.11,36.17,26.12,20.80,15.93,17.29,19.84,20.20,15.35,17.14,24.29,28.98,27.63,25.87,27.61,34.18
2017,,,,,,,,,,,,,,,,,,,
